time_broken_spent_alone,stage_fear,social_event_attendance,going_outside,drained_after_socializing,friends_circle_size,post_frequency,personality,personality_encoded,user_id,event_timestamp,created_timestamp
8.0,1,3.0,1.0,1,1.0,2.0,Introvert,0,54,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
6.0,1,3.0,3.0,1,4.0,3.0,Introvert,0,55,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,10.0,4.0,0,10.0,5.0,Extrovert,1,56,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
9.0,1,3.0,2.0,1,4.0,3.0,Introvert,0,57,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
2.0,0,10.0,6.0,0,10.0,9.0,Extrovert,1,58,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
2.0,0,5.0,7.0,0,10.0,5.0,Extrovert,1,59,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.505816002819881,0,9.0,4.0,0,7.0,5.0,Extrovert,1,60,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
1.0,0,9.0,5.0,0,9.0,10.0,Extrovert,1,61,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
9.0,1,2.0,3.0,1,4.0,2.0,Introvert,0,62,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
7.0,1,3.0,1.0,1,2.0,3.0,Introvert,0,63,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
2.0,0,7.0,5.0,0,7.0,9.0,Extrovert,1,64,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,5.0,6.0,0,6.0,5.0,Extrovert,1,65,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
10.0,1,3.0,1.0,1,0.0,2.0,Introvert,0,66,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
0.0,0,10.0,6.0,0,6.0,4.0,Extrovert,1,67,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
5.0,1,1.0,3.0,1,4.0,3.0,Introvert,0,68,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
0.0,0,4.0,6.0,0,6.0,5.0,Extrovert,1,69,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
7.0,1,3.0,2.0,1,1.0,2.0,Introvert,0,70,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
8.0,1,3.0,3.0,1,4.0,0.0,Introvert,0,71,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
1.0,0,3.963354474982382,5.0,0,11.0,8.0,Extrovert,1,72,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
2.0,0,10.0,5.0,0,12.0,5.0,Extrovert,1,73,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
8.0,1,0.0,1.0,1,0.0,2.0,Introvert,0,74,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
10.0,1,2.0,0.0,1,3.0,1.0,Introvert,0,75,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
7.0,1,3.0,3.0,1,2.0,0.0,Introvert,0,76,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
6.0,1,1.0,2.0,1,5.0,0.0,Introvert,0,77,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
0.0,0,5.0,4.0,0,9.0,10.0,Extrovert,1,78,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
8.0,1,0.0,1.0,1,5.0,0.0,Introvert,0,79,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.0,0,9.0,6.0,0,11.0,6.0,Extrovert,1,80,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
5.0,1,2.0,0.0,1,2.0,0.0,Introvert,0,81,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
1.0,0,8.0,4.0,0,11.0,10.0,Extrovert,1,82,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
0.0,0,5.0,6.0,0,9.0,7.0,Extrovert,1,83,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
7.0,1,1.0,0.0,0,3.0,1.0,Introvert,0,84,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.0,0,4.0,7.0,0,6.0,8.0,Extrovert,1,85,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,4.0,4.0,0,12.0,5.0,Extrovert,1,86,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.0,0,9.0,4.0,0,8.0,10.0,Extrovert,1,87,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
0.0,0,6.0,5.0,0,11.0,8.0,Extrovert,1,88,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
1.0,0,4.0,6.0,0,15.0,8.0,Extrovert,1,89,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,7.0,6.0,0,6.268862911795962,9.0,Extrovert,1,90,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
5.0,1,1.0,3.0,1,4.0,0.0,Introvert,0,91,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
0.0,0,7.0,6.0,0,10.0,4.0,Extrovert,1,92,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
9.0,1,1.0,1.0,1,1.0,3.0,Introvert,0,93,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,5.0,5.0,0,8.0,5.0,Extrovert,1,94,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
1.0,0,8.0,6.0,0,9.0,6.0,Extrovert,1,95,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,7.0,6.0,0,11.0,10.0,Extrovert,1,96,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
1.0,0,5.0,3.0,0,10.0,9.0,Extrovert,1,97,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,10.0,6.0,0,14.0,7.0,Extrovert,1,98,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.0,0,10.0,7.0,0,8.0,10.0,Extrovert,1,99,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
8.0,1,1.0,0.0,1,4.0,2.0,Introvert,0,100,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
5.0,1,2.0,2.0,1,0.0,3.0,Introvert,0,101,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
1.0,0,3.963354474982382,6.0,0,8.0,8.0,Extrovert,1,102,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
0.0,0,4.0,7.0,0,13.0,4.0,Extrovert,1,103,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
5.0,1,1.0,3.0,1,5.0,2.0,Introvert,0,104,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
7.0,1,1.0,2.0,1,3.0,3.0,Introvert,0,105,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
0.0,0,6.0,7.0,0,12.0,9.0,Extrovert,1,106,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
0.0,0,4.0,6.0,0,13.0,5.0,Extrovert,1,107,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
0.0,0,6.0,7.0,0,9.0,4.0,Extrovert,1,108,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,4.0,5.0,0,10.0,6.0,Extrovert,1,109,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
9.0,1,0.0,3.0,1,1.0,0.0,Introvert,0,110,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,6.0,7.0,0,15.0,5.0,Extrovert,1,111,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.0,0,9.0,7.0,0,13.0,5.0,Extrovert,1,112,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
1.0,0,7.0,7.0,0,9.0,5.0,Extrovert,1,113,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
7.0,1,0.0,3.0,1,1.0,0.0,Introvert,0,114,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,6.0,4.0,0,8.0,10.0,Extrovert,1,115,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.0,0,5.0,5.0,0,15.0,8.0,Extrovert,1,116,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
1.0,0,7.0,5.0,0,6.0,9.0,Extrovert,1,117,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
5.0,1,0.0,2.0,1,0.0,2.0,Introvert,0,118,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
10.0,1,0.0,3.0,1,0.0,1.0,Introvert,0,119,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,8.0,4.0,0,12.0,4.0,Extrovert,1,120,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
6.0,1,1.0,2.0,1,5.0,1.0,Introvert,0,121,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
10.0,1,2.0,3.0,1,2.0,2.0,Introvert,0,122,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,5.0,7.0,0,8.0,4.0,Extrovert,1,123,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
7.0,1,2.0,3.0,1,1.0,2.0,Introvert,0,124,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,6.0,6.0,0,10.0,7.0,Extrovert,1,125,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.505816002819881,1,3.0,0.0,1,2.0,1.0,Introvert,0,126,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.0,0,9.0,7.0,0,10.0,5.0,Extrovert,1,127,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.0,0,4.0,7.0,0,15.0,8.0,Extrovert,1,128,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
10.0,1,0.0,1.0,1,5.0,3.0,Introvert,0,129,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.0,0,7.0,6.0,0,7.0,9.0,Extrovert,1,130,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,5.0,7.0,0,13.0,7.0,Extrovert,1,131,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
5.0,1,3.963354474982382,0.0,1,2.0,2.0,Introvert,0,132,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
8.0,1,1.0,1.0,1,2.0,3.0,Introvert,0,133,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.0,0,9.0,5.0,0,10.0,7.0,Extrovert,1,134,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
2.0,0,10.0,6.0,0,11.0,8.0,Extrovert,1,135,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
6.0,1,0.0,1.0,1,1.0,1.0,Introvert,0,136,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
10.0,1,2.0,1.0,1,5.0,3.0,Introvert,0,137,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
9.0,1,3.0,2.0,1,3.0,2.0,Introvert,0,138,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
6.0,1,3.0,2.0,1,1.0,1.0,Introvert,0,139,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.0,0,10.0,4.0,0,9.0,8.0,Extrovert,1,140,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
2.0,0,10.0,7.0,0,6.0,4.0,Extrovert,1,141,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
10.0,1,3.0,3.0,1,5.0,3.0,Introvert,0,142,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,7.0,5.0,0,6.0,9.0,Extrovert,1,143,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
2.0,0,10.0,6.0,0,12.0,5.0,Extrovert,1,144,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,5.0,6.0,0,8.0,6.0,Extrovert,1,145,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,6.0,7.0,0,15.0,9.0,Extrovert,1,146,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
9.0,1,1.0,0.0,1,0.0,0.0,Introvert,0,147,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
5.0,1,0.0,3.0,1,4.0,3.0,Introvert,0,148,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
0.0,0,6.0,7.0,0,8.0,7.0,Extrovert,1,149,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
1.0,0,4.0,7.0,0,10.0,7.0,Extrovert,1,150,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
7.0,1,2.0,2.0,1,3.0,2.0,Introvert,0,151,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
2.0,0,6.0,4.0,0,13.0,5.0,Extrovert,1,152,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.0,0,5.0,7.0,0,13.0,8.0,Extrovert,1,153,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
9.0,1,2.0,3.0,1,0.0,1.0,Introvert,0,154,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.0,0,8.0,7.0,0,11.0,7.0,Extrovert,1,155,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
8.0,1,1.0,2.0,1,3.0,3.0,Introvert,0,156,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
5.0,1,3.0,1.0,1,2.0,1.0,Introvert,0,157,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
2.0,0,6.0,7.0,0,11.0,10.0,Extrovert,1,158,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
2.0,0,10.0,4.0,0,11.0,10.0,Extrovert,1,159,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
2.0,0,9.0,5.0,0,8.0,10.0,Extrovert,1,160,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
5.0,1,2.0,2.0,1,1.0,2.0,Introvert,0,161,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
6.0,1,3.0,0.0,1,5.0,0.0,Introvert,0,162,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,10.0,5.0,0,14.0,4.0,Extrovert,1,163,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
6.0,1,3.0,3.0,1,1.0,0.0,Introvert,0,164,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
6.0,1,1.0,3.0,1,1.0,3.0,Introvert,0,165,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
0.0,0,7.0,7.0,0,9.0,8.0,Extrovert,1,166,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
10.0,1,0.0,3.0,1,4.0,3.0,Introvert,0,167,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
9.0,1,2.0,2.0,1,1.0,1.0,Introvert,0,168,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
1.0,0,5.0,7.0,0,9.0,7.0,Extrovert,1,169,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
6.0,1,1.0,3.0,1,3.0,3.0,Introvert,0,170,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
1.0,0,8.0,4.0,0,10.0,8.0,Extrovert,1,171,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.505816002819881,0,4.0,7.0,0,7.0,5.0,Extrovert,1,172,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,6.0,6.0,0,13.0,9.0,Extrovert,1,173,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
6.0,1,1.0,3.0,1,0.0,2.0,Introvert,0,174,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
1.0,0,5.0,5.0,0,15.0,5.0,Extrovert,1,175,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
8.0,1,2.0,2.0,1,1.0,1.0,Introvert,0,176,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
1.0,0,9.0,4.0,0,13.0,6.0,Extrovert,1,177,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
2.0,0,8.0,6.0,0,13.0,10.0,Extrovert,1,178,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
2.0,0,9.0,7.0,0,13.0,10.0,Extrovert,1,179,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
2.0,0,6.0,7.0,0,8.0,9.0,Extrovert,1,180,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.505816002819881,0,8.0,5.0,0,9.0,4.0,Extrovert,1,181,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,8.0,4.0,0,7.0,4.0,Extrovert,1,182,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
6.0,1,0.0,0.0,1,2.0,3.0,Introvert,0,183,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
7.0,1,0.0,2.0,1,3.0,2.0,Introvert,0,184,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,8.0,7.0,0,7.0,10.0,Extrovert,1,185,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
10.0,1,1.0,0.0,1,0.0,3.0,Introvert,0,186,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
9.0,1,2.0,0.0,1,2.0,1.0,Introvert,0,187,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
10.0,1,0.0,1.0,1,1.0,1.0,Introvert,0,188,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
7.0,1,2.0,1.0,1,1.0,2.0,Introvert,0,189,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
2.0,0,10.0,7.0,0,10.0,4.0,Extrovert,1,190,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.0,0,8.0,7.0,0,6.0,10.0,Extrovert,1,191,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,8.0,4.0,0,9.0,7.0,Extrovert,1,192,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
0.0,0,5.0,6.0,0,9.0,4.0,Extrovert,1,193,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
9.0,1,2.0,3.0,1,2.0,1.0,Introvert,0,194,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
8.0,1,0.0,0.0,1,1.0,2.0,Introvert,0,195,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
1.0,0,6.0,7.0,0,13.0,10.0,Extrovert,1,196,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
6.0,1,3.0,2.0,1,3.0,1.0,Introvert,0,197,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
6.0,1,2.0,2.0,1,1.0,1.0,Introvert,0,198,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
10.0,1,0.0,0.0,1,3.0,0.0,Introvert,0,199,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,6.0,3.0,0,10.0,6.0,Extrovert,1,200,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
7.0,1,0.0,2.0,1,3.0,0.0,Introvert,0,201,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
8.0,1,2.0,1.0,1,3.0,2.0,Introvert,0,202,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
6.0,1,2.0,0.0,1,3.0,1.0,Introvert,0,203,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
8.0,1,1.0,1.0,1,2.0,1.0,Introvert,0,204,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
7.0,1,0.0,0.0,1,2.0,1.0,Introvert,0,205,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
8.0,0,0.0,3.0,1,3.0,2.0,Introvert,0,206,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
5.0,1,2.0,1.0,1,2.0,2.0,Introvert,0,207,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.505816002819881,1,2.0,2.0,1,1.0,2.0,Introvert,0,208,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
8.0,1,2.0,2.0,1,1.0,0.0,Introvert,0,209,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
5.0,1,0.0,1.0,1,2.0,1.0,Introvert,0,210,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
